plntname,ra_str,ra,dec_str,dec,imdelthmag,imdeltjmag,imdeltkmag,imdeltlpmag,imangsep,imsep,imtruesep,impa,imdist,ns,glon,glat,imjmag,imhmag,imkmag,imlpmag,implnjmag,implnhmag,implnkmag,implnlpmag
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.96,,,39.2,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.955,,,38.5,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.956,,,37.2,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.958,,,36.7,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.953,,,34.7,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.964,,,34.1,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.614,,,163.5,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.622,,,161,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.624,,,157.7,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.626,,,156.3,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.634,,,155.3,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.634,,,152.2,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.638,,,151.7,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.65,,,148.6,39.4,1,92.76421,-35.5750779,,,,,,,,
