plntname,ra_str,ra,dec_str,dec,imdelthmag,imdeltjmag,imdeltkmag,imdeltlpmag,imangsep,imsep,imtruesep,impa,imdist,ns,glon,glat,imjmag,imhmag,imkmag,imlpmag,implnjmag,implnhmag,implnkmag,implnlpmag
GU Psc b,01:12:35.05,18.146006,+17:03:55.6,17.065475,,,,,41.97,2000,,,48,1,130.15233,-45.509583,,,,,,,,
VHS J125601.92-125723.9 b,12:56:02.15,194.008964,-12:57:21.7,-12.956031,,,,,8.06,102,,218.1,12.7,1,304.67118,49.9002002,11.36,11.02,10.42,,1.71E+01,15.78,1.47E+01,
WD 0806-661 b,08:06:53.75,121.723902,-66:18:16.7,-66.3046498,,,,,130.2,,,104.2,19.2,1,279.42255,-17.5715768,,,,,,,,
WISEP J121756.91+162640.2 A b,12:17:56.91,184.487125,+16:26:40.2,16.4445,2.2,2.10E+00,2.16E+00,,0.757,8,,,10.5,1,265.23847,76.7973725,17.98,18.31,18.94,,2.01E+01,20.51,2.11E+01,
WISEP J121756.91+162640.2 A b,12:17:56.91,184.487125,+16:26:40.2,16.4445,2.2,2.10E+00,2.16E+00,,0.757,8,,,10.5,1,265.23847,76.7973725,17.98,18.31,18.94,,2.01E+01,20.51,2.11E+01,
WISEP J121756.91+162640.2 A b,12:17:56.91,184.487125,+16:26:40.2,16.4445,2.2,2.10E+00,2.16E+00,,0.757,8,,,10.5,1,265.23847,76.7973725,17.98,18.31,18.94,,2.01E+01,20.51,2.11E+01,
WISEP J121756.91+162640.2 A b,12:17:56.91,184.487125,+16:26:40.2,16.4445,2.2,2.10E+00,2.16E+00,,0.757,8,,,10.5,1,265.23847,76.7973725,17.98,18.31,18.94,,2.01E+01,20.51,2.11E+01,
WISEP J121756.91+162640.2 A b,12:17:56.91,184.487125,+16:26:40.2,16.4445,2.2,2.10E+00,2.16E+00,,0.757,8,,,10.5,1,265.23847,76.7973725,17.98,18.31,18.94,,2.01E+01,20.51,2.11E+01,
WISEP J121756.91+162640.2 A b,12:17:56.91,184.487125,+16:26:40.2,16.4445,2.2,2.10E+00,2.16E+00,,0.757,8,,,10.5,1,265.23847,76.7973725,17.98,18.31,18.94,,2.01E+01,20.51,2.11E+01,
LkCa 15 b,04:39:17.79,69.824148,+22:21:03.4,22.350967,,,,,0.093,14.7,,256,,1,176.6897,-15.9816355,,,,,,,,
LkCa 15 b,04:39:17.79,69.824148,+22:21:03.4,22.350967,,,,5.40E+00,0.106,14.7,,260,,1,176.6897,-15.9816355,,,,,,,,
LkCa 15 b,04:39:17.79,69.824148,+22:21:03.4,22.350967,,,6.00E+00,,0.125,14.7,,274,,1,176.6897,-15.9816355,,,,,,,,
LkCa 15 c,04:39:17.79,69.824148,+22:21:03.4,22.350967,,,,4.80E+00,0.068,18.6,,316,,1,176.6897,-15.9816355,,,,,,,,
LkCa 15 c,04:39:17.79,69.824148,+22:21:03.4,22.350967,,,5.50E+00,,0.085,18.6,,312,,1,176.6897,-15.9816355,,,,,,,,
2MASS J02192210-3925225 b,02:19:22.11,34.842106,-39:25:22.5,-39.422928,3.77,4.22E+00,3.38E+00,,3.96,156,,173.9,39.4,1,252.45377,-67.9844531,11.32,10.86,10.44,,1.55E+01,14.63,1.38E+01,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,,0.45,,,171,,3,198.61262,-30.6576124,,,,,,,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,,0.454,,,170.6,,3,198.61262,-30.6576124,,,,,,,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,,0.462,,,170.5,,3,198.61262,-30.6576124,,,,,,,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,,0.462,,,170.4,,3,198.61262,-30.6576124,,,,,,,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,,0.455,,,166.5,,3,198.61262,-30.6576124,,,,,,,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,,0.454,,,166.1,29.8,3,198.61262,-30.6576124,,,,,,,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,,0.453,,,167.2,29.8,3,198.61262,-30.6576124,,,,,,,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,,0.457,,,165.5,29.8,3,198.61262,-30.6576124,,,,,,,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,,0.454,,,160.3,29.8,3,198.61262,-30.6576124,,,,,,,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,,0.449,,,155.7,29.8,3,198.61262,-30.6576124,,,,,,,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,,0.443,,,150.2,29.8,3,198.61262,-30.6576124,,,,,,,,
TYC 8998-760-1 b,13:25:12.13,201.300542,-64:56:20.69,-64.9390806,,,,,1.71,162,,,94.6,1,306.4997,-2.3014173,,,,,,,,
TYC 8998-760-1 b,13:25:12.13,201.300542,-64:56:20.69,-64.9390806,7.43,,,,1.715,162,,212.1,94.6,1,306.4997,-2.3014173,,8.44,,,,,,
TYC 8998-760-1 b,13:25:12.13,201.300542,-64:56:20.69,-64.9390806,,6.71E+00,,,,162,,,94.6,1,306.4997,-2.3014173,9.02,,,,,,,
TYC 8998-760-1 b,13:25:12.13,201.300542,-64:56:20.69,-64.9390806,,,6.41E+00,,1.706,162,,212,94.6,1,306.4997,-2.3014173,,,8.29,,,,,
TYC 8998-760-1 b,13:25:12.13,201.300542,-64:56:20.69,-64.9390806,6.65,7.14E+00,,,1.711,162,,212,94.6,1,306.4997,-2.3014173,9.13,8.46,,,,,,
TYC 8998-760-1 b,13:25:12.13,201.300542,-64:56:20.69,-64.9390806,6.42,6.81E+00,,,1.711,162,,212,94.6,1,306.4997,-2.3014173,8.92,8.36,,,,,,
