pl_name,rastr,ra,decstr,dec,pl_massj,pl_masse,pl_orbsmax,st_mass,sy_dist,ml_dists,ml_tsepmin,ml_sepminnorm,ml_xtimeein,ml_radsnorm,ml_sepinsnorp,ml_massratio,ml_angstlax,ml_magis,ml_magibl,ml_radeinang,ml_pmrells,glon,glat,ml_plxrel,ml_plxmicro,ml_plxmicron,ml_plxmicroe,ml_dsdt,ml_dalphadt,ml_radsang,ml_radsphy,ml_xtimesrc,ml_efftime,ml_pms,ml_magvs,ml_magvso,ml_magiso,ml_magjs,ml_magjso,ml_maghs,ml_maghso,ml_magks,ml_magkso,ml_magibase,sy_vmag,sy_icmag,sy_jmag,sy_hmag,sy_kmag,ml_extvfld,ml_extifld,ml_extjfld,ml_exthfld,ml_extkfld
OGLE-2019-BLG-1492L b,18h00m23.15s,270.096458,-28d37m52.1s,-28.631139,0.11672965,37.1,2.7,0.68,5600,,2458763.142,0.0508,50.1,0.009,1.044,1.76,2.12,21.1,,0.03,3.8,1.90665,-2.63192,,,,,,,0.3,,,,,,,20.08,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1391L b,18h02m44.06s,270.683583,-28d03m37.80s,-28.0605,0.0143159,4.55,2.29,0.37,5720,,,,,,,,,,,,,2.65873,-2.80007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-2019-BLG-1492L b,18h00m23.15s,270.096458,-28d37m52.1s,-28.631139,0.11672965,37.1,2.7,0.68,5600,,2458763.131,0.048,52.4,0.009,1.043,1.73,2.134,21.1,,0.03,3.8,1.90665,-2.63192,,,-0.21,-0.042,,,0.3,,,,,,,20.08,,,,,,,,,,,,,,,,,
KMT-2019-BLG-2974L b,17h51m24.50s,267.852083,-29d25m23.38s,-29.423161,,,,,,,2458753.026,0.16,28.58,10,0.854,6.18,0.386,21.35,,0.082,1.05,0.23449,-1.33358,,,,,,,0.82,,,,,,,18.03,,,,,,,,,,,,,,,,,
KMT-2019-BLG-1806L b,18h02m09.01s,270.537542,-29d24m53.60s,-29.414889,0.01507103,4.79,3.17,0.75,6620,,2458715.453,-0.0255,135.6,1.7,1.0352,0.1932,-2.148,21.35,,0.19,1.15,1.41436,-3.35396,,,-0.019,-0.06,,,0.345,,,,,,,19.95,,,,,,,,,,,,,,,,,
OGLE-2017-BLG-1806L b,17h46m29.58s,266.62325,-24d16m20.17s,-24.272269,0.00755124,2.4,1.89,0.44,5950,,2458024.388,0.0256,69.4,1.5,0.8592,0.1714,0.267,21.1,,0.377,2.39,4.08658,2.25801,,,0.774,0.157,,,0.566,,,,,,,19.01,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0516L b,17h58m33.63s,269.640125,-31d15m44.6s,-31.262389,0.06324167,20.1,2.2,0.47,7000,,2458227.651,0.105,24.85,0.011,1.0055,1.318,2.2754,19.45,,0.08,5,359.42174,-3.59284,,,,,,,0.81,,,,,,,17.58,,,,,,,,,,,,,,,,,
KMT-2019-BLG-1042L b,18h02m10.57s,270.544042,-27d34m50.41s,-27.580669,0.19,60.38739733,1.7,0.3,6600,,,,,,,,,,,,9.1,3.01617,-2.4566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2017-BLG-1194L b,18h17m17.31s,274.322125,-25d19m26.18s,-25.323939,0.01113809,3.54,1.78,0.41,4240,,2457942.66,0.256,47,2.6,0.8063,0.2618,2.505,20.28,,0.17,4.29,6.62779,-4.33653,,,,,,,0.448,,,,,,,19.29,,,,,,,,,,,,,,,,,
OGLE-2017-BLG-1806L b,17h46m29.58s,266.62325,-24d16m20.17s,-24.272269,0.00843222,2.68,1.91,0.48,6530,,2458024.388,-0.0253,69.6,1.65,0.8601,0.1706,-0.263,21.1,,0.343,2.09,4.08658,2.25801,,,-0.756,0.124,,,0.566,,,,,,,19.01,,,,,,,,,,,,,,,,,
